specialty_id,doctor_id,id,degree_id,category_id,is_child_doctor,active,deleted,since,default
3,14,16,NULL,NULL,NULL,1,0,NULL,0
48,15,17,NULL,NULL,NULL,1,0,NULL,0
13,14,19,NULL,NULL,NULL,1,0,NULL,0
44,14,20,NULL,NULL,NULL,1,0,NULL,0
8,16,21,NULL,NULL,NULL,1,0,NULL,0
35,16,22,NULL,NULL,NULL,1,0,NULL,0
59,16,23,NULL,NULL,NULL,1,0,NULL,0
36,21,30,NULL,NULL,NULL,1,0,NULL,0
21,22,31,NULL,NULL,NULL,1,0,NULL,0
21,24,34,NULL,NULL,NULL,1,0,NULL,0
3,27,40,NULL,NULL,NULL,1,0,NULL,0
19,28,41,NULL,NULL,NULL,1,0,NULL,0
49,28,42,NULL,NULL,NULL,1,0,NULL,0
3,29,43,NULL,NULL,NULL,1,0,NULL,0
53,31,45,NULL,NULL,NULL,1,0,NULL,0
8,32,46,NULL,NULL,NULL,1,0,NULL,0
49,32,47,NULL,NULL,NULL,1,0,NULL,0
3,33,48,NULL,NULL,NULL,1,0,NULL,0
13,34,49,NULL,NULL,NULL,1,0,NULL,0
3,35,50,NULL,NULL,NULL,1,0,NULL,0
16,37,53,NULL,NULL,NULL,1,0,NULL,0
57,37,54,NULL,NULL,NULL,1,0,NULL,0
52,39,57,NULL,NULL,NULL,1,0,NULL,0
3,41,60,NULL,NULL,NULL,1,0,NULL,0
48,42,61,NULL,NULL,NULL,1,0,NULL,0
52,51,70,NULL,NULL,NULL,1,0,NULL,0
15,53,72,NULL,NULL,NULL,1,0,NULL,0
4,55,74,NULL,NULL,NULL,1,0,NULL,0
28,56,75,NULL,NULL,NULL,1,0,NULL,0
32,58,76,NULL,NULL,NULL,1,0,NULL,0
15,57,80,NULL,NULL,NULL,1,0,NULL,0
24,60,83,NULL,NULL,NULL,1,0,NULL,0
32,60,84,NULL,NULL,NULL,1,0,NULL,0
56,60,85,NULL,NULL,NULL,1,0,NULL,0
32,61,87,NULL,NULL,NULL,1,0,NULL,0
56,61,88,NULL,NULL,NULL,1,0,NULL,0
48,62,89,NULL,NULL,NULL,1,0,NULL,0
30,65,93,NULL,NULL,NULL,1,0,NULL,0
28,67,95,NULL,NULL,NULL,1,0,NULL,0
6,70,98,NULL,NULL,NULL,1,0,NULL,0
46,31,100,NULL,NULL,NULL,1,0,NULL,0
8,73,102,NULL,NULL,NULL,1,0,NULL,0
8,74,103,NULL,NULL,NULL,1,0,NULL,0
